name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Stenotrophomonas sp. 364	2691571	S	218621	0	218621	0.52431
Stenotrophomonas sp. LM091	1904944	S	9545	0	9545	0.02289
Stenotrophomonas sp. 169	2770322	S	557	0	557	0.00134
Stenotrophomonas sp. NA06056	2742129	S	311	0	311	0.00075
Stenotrophomonas sp. DR822	2871174	S	77	0	77	0.00018
Stenotrophomonas sp. WZN-1	2005046	S	66	0	66	0.00016
Stenotrophomonas sp. G4	2303750	S	57	0	57	0.00014
Stenotrophomonas sp. MYb57	1827305	S	56	0	56	0.00013
Stenotrophomonas sp. SI-NJAU-1	2886359	S	51	0	51	0.00012
Stenotrophomonas sp. NY11291	2939415	S	39	0	39	0.00009
Stenotrophomonas sp. SXG-1	2682487	S	25	0	25	0.00006
Stenotrophomonas sp. Pemsol	2040586	S	21	0	21	0.00005
Stenotrophomonas sp. pho	2211160	S	20	0	20	0.00005
Stenotrophomonas sp. ASS1	2282124	S	8	0	8	0.00002
Stenotrophomonas rhizophila	216778	S	85967	0	85967	0.20617
Stenotrophomonas maltophilia	40324	S	6481	0	6481	0.01554
Stenotrophomonas sp. ESTM1D_MKCIP4_1	2072414	S	579	0	579	0.00139
Stenotrophomonas sp. SAU14A_NAIMI4_5	2072413	S	549	0	549	0.00132
Stenotrophomonas sp. ZAC14D2_NAIMI4_6	2072406	S	228	0	228	0.00055
Stenotrophomonas sp. ZAC14D2_NAIMI4_7	2072405	S	128	0	128	0.00031
Stenotrophomonas sp. ZAC14A_NAIMI4_1	2072412	S	97	0	97	0.00023
Stenotrophomonas sp. YAU14D1_LEIMI4_1	2072407	S	86	0	86	0.00021
Stenotrophomonas sp. YAU14A_MKIMI4_1	2072408	S	69	0	69	0.00017
Stenotrophomonas sp. SAU14A_NAIMI4_8	2072409	S	56	0	56	0.00013
Stenotrophomonas acidaminiphila	128780	S	144	0	144	0.00035
Stenotrophomonas indicatrix	2045451	S	61	0	61	0.00015
Xanthomonas sp. CFBP 8445	2971236	S	35	0	35	0.00008
Xanthomonas sp. AM6	2982531	S	27	0	27	0.00006
Xanthomonas sp. CFBP 8443	2971235	S	19	0	19	0.00005
Xanthomonas sp. SS	2724122	S	4	0	4	0.00001
Xanthomonas sp. SI	2724123	S	1	0	1	0.00000
